Name	Set	ImageFile	Type	Sub-Type	Rarity
Alice in Wonderland	Base	Alice_in_Wonderland_Challenge	Challenge	Enigma	C
Alien Savages	Base	Alien_Savages_Challenge	Challenge	Ambush	C
Andorians	Base	Andorians_Challenge	Challenge	Capture	C
Android Duplicate!	Base	Android_Duplicate_Challenge	Challenge	Attack	V
Ayelborne	Base	Ayelborne_Challenge	Challenge	Enigma or Negotiate	R
Balok	Base	Balok_Challenge	Challenge	Enigma or Negotiate	R
Bele	Base	Bele_Challenge	Challenge	Capture or Argue	R
Ben Childress	Base	Ben_Childress_Challenge	Challenge	Negotiate	U
Bilar	Base	Bilar_Challenge	Challenge	Attack or Capture	U
Black Knight	Base	Black_Knight_Challenge	Challenge	Attack	U
Capellans	Base	Capellans_Challenge	Challenge	Capture	C
Claudius Marcus	Base	Claudius_Marcus_Challenge	Challenge	Conquer or Command or Argue	R
Colonel Green	Base	Colonel_Green_Challenge	Challenge	Ambush or Capture or Outwit	C
Commodore Jose' Mendez	Base	Commodore_Jose_Mendez_Challenge	Challenge	Command or Enigma	V
Commodore Stone	Base	Commodore_Stone_Challenge	Challenge	Command or Negotiate	U
Decius	Base	Decius_Challenge	Challenge	Capture	C
Denevan Neural Parasites	Base	Denevan_Neural_Parasites_Challenge	Challenge	Conquer	R
Dikironium Cloud Creature	Base	Dikironium_Cloud_Creature_Challenge	Challenge	Ambush or Outwit	V
Don Juan	Base	Don_Juan_Challenge	Challenge	Enigma or Capture	C
Dr. Brown	Base	Dr_Brown_Challenge	Challenge	Capture or Enigma	C
Dr. Elizabeth Dehner*	Base	Dr_Elizabeth_Dehner_Challenge	Challenge	Negotiate or Mind Control	V
Dr. Roger Korby	Base	Dr_Roger_Korby_Challenge	Challenge	Outwit or Argue	R
Dr. Simon Van Gelder	Base	Dr_Simon_Van_Gelder_Challenge	Challenge	Ambush or Enigma	C
Dr. Tristan Adams	Base	Dr_Tristan_Adams_Challenge	Challenge	Mind Control or Command	U
Elias Sandoval	Base	Elias_Sandoval_Challenge	Challenge	Argue or Enigma	U
Eve McHuron	Base	Eve_McHuron_Challenge	Challenge	Tempt	U
